H,albedo,rot_per,spec_B
10.33,0.028,2.2334493541591836,X
10.14,0.092,3.15016862685841,S
7.43,0.206,3.4651732445372505,S
9.65,0.313,2.8683533442241607,S
9.35,0.344,2.5349848729420636,X
9.14,0.11,2.246226359324661,K
11.63,0.079,2.127779222541754,X
10.96,0.068,2.9892110565637253,C
7.47,0.061,2.873971336528384,B
6.34,0.078,2.2749055238873033,B
8.47,0.031,4.001498011855749,C
11.12,0.081,3.1366674404754824,C
8.58,0.039,2.5449507109548466,X
9.08,0.048,2.3900738560168286,C
10.03,0.273,2.551786178627545,X
10.9,0.17,2.808679542384135,S
9.7,0.042,2.914901755639442,X
9.69,0.2029,2.294452109763857,S
10.15,0.352,1.8619072291301368,C
9.55,0.133,3.2669037938787824,L
9.73,0.209,2.2174628395772107,X
9.88,0.059,3.073850052817943,C
8.91,0.231,2.0826738122605013,S
8.85,0.051,3.2156706939192525,X
10.05,0.1391,3.2152733437180583,X
9.6,0.121,2.974457563275136,K
10.28,0.068,2.418588768750352,C
8.03,0.0503,2.3432086678304174,C
11.59,0.27,1.935484562428866,S
8.94,0.027,3.205912158476342,C
10.32,0.333,2.3841650799864684,L
9.29,0.042,2.5441185094198464,C
10.05,0.217,2.026001207208298,X
10.82,0.036,2.7232015048695537,X
10.17,0.095,2.2343276652877213,B
10.46,0.123,1.9303613186656832,X
9.13,0.048,2.0478734722121734,T
7.71,0.065,2.1596380836741127,C
7.96,0.157,2.5002877518263027,X
9.48,0.048,2.997730276216664,X
11.34,0.224,1.623892933403685,S
11.11,0.034,4.0347714706871995,C
9.3,0.086,2.6510564795820897,C
9.45,0.12,2.291342127047998,C
11.34,0.153,1.923956638839441,X
10.15,0.024,2.3194422100604686,X
10.2,0.196,2.1277554019583866,S
10.05,0.027,3.9589065913269965,C
9.31,0.209,2.216536888368592,X
10.4,0.287,1.7131310387706393,S
7.99,0.054,2.762853993142884,C
9.97,0.213,3.4541376523726495,S
8.74,0.054,3.6131047090502943,C
10.87,0.644,1.6902803002782012,X
12.02,0.277,4.215086179918229,S
11.86,0.025,5.47058858748849,C
10.22,0.087,5.5254529391317835,L
11.62,0.275,2.0719132752590443,S
11.74,0.166,1.9437077255001134,C
9.8,0.173,2.052314405540411,X
10.12,0.041,3.086121273281672,C
10.09,0.152,2.761717342351146,S
11.62,0.051,2.189528370701749,C
10.9,0.045,2.5710843460290524,C
10.04,0.116,2.340458745422127,X
9.91,0.291,2.1427683915401605,S
9.09,0.29,2.083421112672666,A
9.68,0.046,2.533696813957432,X
10.45,0.056,3.7404752027575867,C
11.77,0.216,4.814620410170298,S
10.12,0.165,1.9380219762063071,X
9.4,0.078,2.3026850879943788,C
8.3,0.071,2.3366966226228136,B
10.49,0.214,2.5128460184772416,S
11.64,0.205,3.2525040058481847,S
11.68,0.28,2.7237923080508177,S
9.92,0.032,3.155595178940458,X
10.7,0.087,2.745474429748209,L
10.49,0.057,2.50848482048041,C
9.41,0.039,7.195187320178709,C
12.02,0.282,1.7701952913122145,S
11.63,0.047,1.7971615185170497,C
9.58,0.0432,3.017346983526399,X
8.51,0.248,2.1838015570040787,S
11.68,0.272,1.4609750263964536,S
11.34,0.032,4.621633912018757,C
10.18,0.047,2.215500986086932,C
11.48,0.128,1.4793292270870801,X
9.98,0.239,2.1234584270966104,S
11.33,0.231,5.313205979041787,S
11.48,0.246,2.084677808475082,S
11.55,0.036,3.1075419486059968,X
10.19,0.029,3.3233079096674487,X
12.27,0.229,1.3289300437303198,S
10.08,0.046,2.362173884405703,C
10.2,0.098,2.1241997790216094,X
7.89,0.229,3.0500784032941044,L
9.56,0.421,1.9136820731848596,S
10.19,0.31,1.9387416595767009,S
12.51,0.057,2.847290268193714,C
11.4,0.145,5.955319100471629,K
11.95,0.083,1.892509372328198,X
9.44,0.048,2.503891949699081,X
11.88,0.308,1.935789103631242,S
11.07,0.052,2.1826747963214883,C
12.22,0.15,2.8914822521801917,S
9.01,0.045,2.576801914492256,B
10.4,0.125,1.5731887797589794,X
10.9,0.045,4.6732679903552885,C
12.48,1.0,1.5234441992671244,X
10.3,0.042,4.736198448394496,X
12.12,0.25,6.133398042996649,S
